time value.garch value.continuous
1994-02-28 0.0415611510479642 0.00615386557437869
1994-03-01 0.0402251906622631 -0.00738919618237066
1994-03-02 0.0478968240110209 -0.0365049973748546
1994-03-03 0.0489354156118269 0.0253178079842895
1994-03-04 0.0468350132008274 -0.0125787822068597
1994-03-07 0.0450076869341552 0.0125787822068597
1994-03-08 0.0425679467175225 0
1994-03-09 0.0451285608954414 -0.0253178079842895
1994-03-10 0.0430147044010095 -0.00643089033029032
1994-03-11 0.0413231355229794 -0.00647251450561726
1994-03-14 0.0465220607312365 0.031951599806602
1994-03-15 0.0449720902499164 -0.0126583968719238
1994-03-16 0.0428027846796293 0.0063492276786592
1994-03-17 0.0457656748256413 0.0274673947006105
1994-03-18 0.0462568066066173 -0.0211582255073459
1994-03-21 0.043944929590978 -0.00630916919326463
