Date;Stock_Price;Shares;Equity;Debt;Asset
1996-10-22;188.859;11.515;2174.711385;5358;7532.711385
1996-10-23;194.506;11.515;2239.73659;5358;7597.73659
1996-10-24;187.496;11.515;2159.01644;5358;7517.01644
1996-10-25;192.948;11.515;2221.79622;5358;7579.79622
1996-10-28;190.806;11.515;2197.13109;5358;7555.13109
1996-10-29;191.78;11.515;2208.3467;5358;7566.3467
1996-10-30;191.974;11.515;2210.58061;5358;7568.58061
1996-10-31;191.78;11.515;2208.3467;5358;7566.3467
1996-11-01;193.532;11.515;2228.52098;5358;7586.52098
1996-11-04;193.727;11.515;2230.766405;5358;7588.766405
1996-11-05;200.347;11.515;2306.995705;5358;7664.995705
1996-11-06;203.072;11.515;2338.37408;5358;7696.37408
1996-11-07;202.488;11.515;2331.64932;5358;7689.64932
1996-11-08;202.488;11.515;2331.64932;5358;7689.64932
1996-11-11;201.709;11.515;2322.679135;5358;7680.679135
1996-11-12;201.32;11.515;2318.1998;5358;7676.1998
1996-11-13;198.4;11.515;2284.576;5358;7642.576
1996-11-14;195.479;11.515;2250.940685;5358;7608.940685
1996-11-15;194.7;11.515;2241.9705;5358;7599.9705
1996-11-18;193.532;11.515;2228.52098;5358;7586.52098
1996-11-19;193.727;11.515;2230.766405;5358;7588.766405
1996-11-20;193.143;11.515;2224.041645;5358;7582.041645
1996-11-21;189.833;11.515;2185.926995;5358;7543.926995
1996-11-22;188.859;11.515;2174.711385;5358;7532.711385
1996-11-25;192.753;11.515;2219.550795;5358;7577.550795
1996-11-26;191.585;11.515;2206.101275;5358;7564.101275
1996-11-27;189.833;11.515;2185.926995;5358;7543.926995
1996-11-28;189.249;11.515;2179.202235;5358;7537.202235
1996-11-29;192.753;11.515;2219.550795;5358;7577.550795
1996-12-02;191.001;11.515;2199.376515;5358;7557.376515
1996-12-03;192.753;11.515;2219.550795;5358;7577.550795
1996-12-04;192.559;11.515;2217.316885;5358;7575.316885
1996-12-05;192.169;11.515;2212.826035;5358;7570.826035
1996-12-06;188.859;11.515;2174.711385;5358;7532.711385
